id,headline,body_text,source,topic_category,label,credibility_score,has_emotional_language,uses_all_caps,num_exclamation_marks,source_domain_credibility,author_verified,publication_date
1,Vaccines contain microchips to track citizens,A viral post claims that COVID-19 vaccines are embedded with microchips by the government to monitor citizens movements and behavior.,conspiracyblog.net,Health & Medicine,FAKE,0.04,TRUE,FALSE,3,0.05,FALSE,2022-03-15
2,WHO confirms new influenza strain detected in Southeast Asia,The World Health Organization has confirmed the detection of a new influenza strain in several Southeast Asian countries and is monitoring its spread.,reuters.com,Health & Medicine,REAL,0.97,FALSE,FALSE,0,0.98,TRUE,2023-06-10
3,5G towers proven to spread coronavirus,Multiple posts on social media claim that 5G cellular towers are responsible for spreading the coronavirus pandemic.,fakenewssite.com,Health & Medicine,FAKE,0.03,TRUE,TRUE,5,0.04,FALSE,2020-04-20
4,CDC updates guidelines for seasonal flu vaccination,The Centers for Disease Control and Prevention has updated its recommendations for flu vaccinations ahead of the upcoming season.,cdc.gov,Health & Medicine,REAL,0.99,FALSE,FALSE,0,0.99,TRUE,2023-09-01
5,Drinking bleach cures COVID-19 instantly!!!,A widely shared post falsely claims that ingesting household bleach can cure COVID-19 and eliminate the virus from the body.,healthmyths.net,Health & Medicine,FAKE,0.01,TRUE,FALSE,3,0.02,FALSE,2020-05-11
6,Scientists discover new antibiotic to combat drug-resistant bacteria,Researchers at MIT have developed a new antibiotic compound capable of fighting drug-resistant bacteria using AI-assisted molecular design.,bbc.com,Health & Medicine,REAL,0.96,FALSE,FALSE,0,0.97,TRUE,2023-05-25
7,Election results manipulated by foreign hackers in 2024,Unverified claims suggest that foreign hackers infiltrated voting machines across multiple states during the 2024 presidential election.,politicalbuzz.net,Politics & Government,FAKE,0.05,TRUE,FALSE,2,0.06,FALSE,2024-11-10
8,Senate passes bipartisan infrastructure bill,The US Senate passed a bipartisan infrastructure investment bill with support from both Republican and Democratic senators.,apnews.com,Politics & Government,REAL,0.97,FALSE,FALSE,0,0.98,TRUE,2021-08-10
9,President secretly signs deal to sell country to China!!!,A fabricated story claims the president has signed a secret agreement to transfer national sovereignty to China in exchange for debt relief.,shockingtruth.org,Politics & Government,FAKE,0.02,TRUE,TRUE,3,0.03,FALSE,2023-01-05
10,Congress approves new budget with education funding increase,The House and Senate reached an agreement on a federal budget that includes increased funding for public education and infrastructure.,washingtonpost.com,Politics & Government,REAL,0.95,FALSE,FALSE,0,0.97,TRUE,2023-03-22
11,Politician caught on tape admitting to voter fraud,A manipulated video circulating online falsely shows a well-known politician allegedly admitting to orchestrating widespread voter fraud.,viralvideos.fake,Politics & Government,FAKE,0.04,TRUE,FALSE,1,0.03,FALSE,2022-10-30
12,Supreme Court rules on landmark privacy case,The Supreme Court issued a ruling on a landmark case concerning digital privacy and government surveillance powers.,nytimes.com,Politics & Government,REAL,0.96,FALSE,FALSE,0,0.98,TRUE,2023-07-14
13,Climate change is a hoax invented by globalists,A popular social media post claims that global warming is a fabricated narrative designed by globalist elites to control economies.,climatedenialist.org,Science & Environment,FAKE,0.03,TRUE,FALSE,2,0.04,FALSE,2023-02-18
14,Global temperatures hit record high for third consecutive year,New data from NASA and NOAA confirms that global average temperatures reached a record high for the third year in a row.,nasa.gov,Science & Environment,REAL,0.99,FALSE,FALSE,0,0.99,TRUE,2023-11-20
15,Scientists confirm Earth is only 6000 years old,A group of fringe scientists claims to have discovered geological evidence proving the Earth is only 6000 years old.,youngearth.net,Science & Environment,FAKE,0.02,FALSE,FALSE,0,0.03,FALSE,2022-07-09
16,Arctic ice sheet reaches record low extent in summer,Satellite data shows that Arctic sea ice coverage reached its lowest recorded summer extent this year due to rising temperatures.,nationalgeographic.com,Science & Environment,REAL,0.97,FALSE,FALSE,0,0.97,TRUE,2023-08-05
17,GMOs proven to cause cancer in new secret study,A fabricated study claims to have found direct links between GMO food consumption and cancer but has never been published in peer-reviewed journals.,foodmyths.co,Science & Environment,FAKE,0.03,TRUE,FALSE,1,0.04,FALSE,2022-04-12
18,New coral reef restoration technique shows promising results,Marine biologists have developed a new coral reef restoration technique using selective breeding and 3D-printed reef structures.,scientificamerican.com,Science & Environment,REAL,0.96,FALSE,FALSE,0,0.97,TRUE,2023-06-28
19,Ukraine fabricating casualty numbers to gain Western support,A disinformation campaign falsely claims Ukraine is exaggerating military and civilian casualties to manipulate Western nations into providing aid.,propagandaoutlet.ru,War & Conflict,FAKE,0.04,TRUE,FALSE,2,0.03,FALSE,2023-03-01
20,UN Security Council holds emergency session on Gaza conflict,The United Nations Security Council convened an emergency session to discuss escalating violence in the Gaza region.,theguardian.com,War & Conflict,REAL,0.96,FALSE,FALSE,0,0.97,TRUE,2023-10-15
21,NATO planning surprise nuclear strike on Russia this weekend!!!,A fabricated and inflammatory article falsely claims NATO is preparing an imminent nuclear attack against Russia.,warmonger.fake,War & Conflict,FAKE,0.01,TRUE,TRUE,3,0.02,FALSE,2023-05-08
22,Red Cross delivers humanitarian aid to conflict zones in Sudan,The International Red Cross confirmed delivery of humanitarian supplies to multiple conflict-affected areas in Sudan.,aljazeera.com,War & Conflict,REAL,0.97,FALSE,FALSE,0,0.97,TRUE,2023-07-19
23,Leaked photos prove US military war crimes in Middle East,Fabricated images with false context are being circulated as supposed proof of undisclosed US military operations and war crimes.,leakedtruth.net,War & Conflict,FAKE,0.03,TRUE,FALSE,1,0.03,FALSE,2022-11-22
24,Ceasefire agreement reached between warring factions in Yemen,Negotiators brokered a new ceasefire agreement between opposing factions in Yemen after months of UN-led talks.,bbc.com,War & Conflict,REAL,0.97,FALSE,FALSE,0,0.98,TRUE,2023-04-07
25,Bitcoin will reach $1 million by end of month guaranteed!!!,A viral post makes extraordinary claims that Bitcoin is guaranteed to reach one million dollars within weeks due to a secret institutional deal.,cryptohype.io,Finance & Economy,FAKE,0.03,TRUE,TRUE,3,0.04,FALSE,2023-01-29
26,Federal Reserve raises interest rates by 25 basis points,The Federal Reserve announced a 25 basis point increase in the federal funds rate amid ongoing efforts to control inflation.,bloomberg.com,Finance & Economy,REAL,0.98,FALSE,FALSE,0,0.99,TRUE,2023-05-03
27,Major bank secretly bankrupt and hiding it from customers,A fabricated financial rumor claims that a large national bank is secretly insolvent and preparing to freeze all customer accounts.,financialcrisis.fake,Finance & Economy,FAKE,0.03,TRUE,FALSE,2,0.04,FALSE,2023-08-14
28,IMF projects 2.8% global economic growth for next year,The International Monetary Fund released its annual economic outlook projecting modest global growth amid continued geopolitical uncertainty.,imf.org,Finance & Economy,REAL,0.98,FALSE,FALSE,0,0.99,TRUE,2023-10-10
29,Government to seize all private savings accounts next week!!!,A false and alarmist claim circulates on social media warning that the government will forcibly take money from private bank accounts.,savingsheist.org,Finance & Economy,FAKE,0.01,TRUE,TRUE,3,0.02,FALSE,2022-09-05
30,US unemployment rate drops to 3.5% in latest report,The Bureau of Labor Statistics reported that the national unemployment rate fell to 3.5% in the latest monthly jobs report.,bls.gov,Finance & Economy,REAL,0.99,FALSE,FALSE,0,0.99,TRUE,2023-06-02
31,Famous actor dies in car crash,A recurring death hoax falsely claims a well-known Hollywood actor was killed in a car accident overnight.,celebgossip.fake,Celebrity & Entertainment,FAKE,0.04,TRUE,FALSE,1,0.05,FALSE,2023-02-14
32,Oscars 2024 announces nominees across major categories,The Academy of Motion Picture Arts and Sciences revealed the official nominees for the 96th Academy Awards ceremony.,variety.com,Celebrity & Entertainment,REAL,0.96,FALSE,FALSE,0,0.97,TRUE,2024-01-23
33,Pop star caught secretly funding terrorist organization!!!,A baseless tabloid story claims without any evidence that a famous music artist is secretly financing a terrorist group overseas.,shockingnews.fake,Celebrity & Entertainment,FAKE,0.02,TRUE,TRUE,3,0.03,FALSE,2023-04-09
34,Renowned director announces retirement from filmmaking,A celebrated film director confirmed in an interview that they will be retiring from active filmmaking after completing their current project.,hollywoodreporter.com,Celebrity & Entertainment,REAL,0.95,FALSE,FALSE,0,0.96,TRUE,2023-09-12
35,Celebrity secretly replaced by clone says insider,A conspiracy theory claims a famous celebrity has been secretly replaced by a government-engineered clone without the publics knowledge.,crazycelebs.net,Celebrity & Entertainment,FAKE,0.02,TRUE,FALSE,2,0.03,FALSE,2022-12-01
36,Grammy Award nominations announced for 2024 ceremony,The Recording Academy unveiled the nominations for the 2024 Grammy Awards spanning all major music categories.,rollingstone.com,Celebrity & Entertainment,REAL,0.95,FALSE,FALSE,0,0.96,TRUE,2023-11-10
37,Immigrant gang responsible for 90% of violent crime in US,A false and racially charged statistic falsely attributes the vast majority of violent crime in the United States to immigrant gangs.,nationalistpost.fake,Crime & Law,FAKE,0.03,TRUE,FALSE,1,0.04,FALSE,2023-06-17
38,FBI arrests cybercrime ring responsible for major data breach,Federal agents arrested several members of an international cybercrime group responsible for a major breach of financial institution data.,fbi.gov,Crime & Law,REAL,0.98,FALSE,FALSE,0,0.99,TRUE,2023-08-22
39,Innocent man convicted based on fabricated DNA evidence,A viral story falsely claims widespread systematic fabrication of DNA evidence by law enforcement agencies to secure false convictions.,justicesystem.fake,Crime & Law,FAKE,0.04,TRUE,FALSE,2,0.04,FALSE,2022-05-30
40,Supreme Court overturns wrongful conviction after new DNA evidence,The Supreme Court ordered the release of a man wrongfully convicted 20 years ago after new DNA analysis exonerated him.,nytimes.com,Crime & Law,REAL,0.96,FALSE,FALSE,0,0.97,TRUE,2023-07-04
41,Serial killer released secretly due to prison overcrowding,A fabricated news story falsely claims authorities secretly released a convicted serial killer due to overcrowded prison conditions.,crimebuzz.fake,Crime & Law,FAKE,0.03,TRUE,FALSE,1,0.03,FALSE,2023-01-18
42,New federal law increases penalties for cybercrime,Congress passed new legislation significantly increasing criminal penalties for hacking and other forms of cybercrime.,congress.gov,Crime & Law,REAL,0.98,FALSE,FALSE,0,0.99,TRUE,2023-05-15
43,The Onion: Scientists discover Earth orbiting itself out of spite,"In a satirical piece, fictional researchers announce the Earth has begun orbiting itself rather than the Sun following a cosmic disagreement.",theonion.com,Satire,SATIRE,0.50,TRUE,FALSE,0,0.90,TRUE,2023-09-20
44,The Babylon Bee: Congress votes to extend weekend to 5 days,A satirical article humorously claims Congress unanimously voted to extend the weekend to five days citing constituent demand.,babylonbee.com,Satire,SATIRE,0.50,FALSE,FALSE,0,0.88,TRUE,2023-10-05
45,Clickhole: I Spent a Week Only Eating Foods That Start With the Letter Q,A satirical lifestyle piece describes an absurd week-long experiment of only consuming foods that begin with the letter Q.,clickhole.com,Satire,SATIRE,0.50,TRUE,FALSE,1,0.87,TRUE,2023-07-11
46,Moon landing was faked in a Hollywood studio,A long-debunked conspiracy theory again circulates claiming the 1969 Apollo moon landing was staged by NASA in a Hollywood film studio.,moonhoax.net,Science & Environment,FAKE,0.03,TRUE,FALSE,2,0.03,FALSE,2023-03-05
47,NASA successfully tests new Artemis lunar rocket,NASA conducted a successful test of its new Space Launch System rocket intended to carry astronauts to the Moon as part of the Artemis program.,nasa.gov,Science & Environment,REAL,0.99,FALSE,FALSE,0,0.99,TRUE,2022-08-29
48,Eating raw garlic daily prevents all forms of cancer,A misleading health post claims that consuming raw garlic every day is scientifically proven to prevent all types of cancer.,naturalhealthguru.fake,Health & Medicine,FAKE,0.04,TRUE,FALSE,2,0.05,FALSE,2022-11-15
49,New cancer immunotherapy shows 80% success rate in clinical trials,Researchers report that a new immunotherapy treatment demonstrated an 80% success rate in phase III clinical trials for a specific cancer type.,thelancet.com,Health & Medicine,REAL,0.97,FALSE,FALSE,0,0.98,TRUE,2023-06-07
50,Government putting chemicals in water supply to control population,A conspiracy theory claims the government is adding mind-control chemicals to public water supplies to reduce population growth and compliance.,watertruth.fake,Politics & Government,FAKE,0.02,TRUE,FALSE,3,0.02,FALSE,2022-08-20
51,Debangshu Panda wins Falta Assembly re-poll by over 1.09 lakh votes,Recent current affairs report regarding India in May 2026: Debangshu Panda wins Falta Assembly re-poll by over 1.09 lakh votes,Zee News,Politics & Government,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-22
52,India commences nationwide Population Census 2027 with new digital capture,Recent current affairs report regarding India in May 2026: India commences nationwide Population Census 2027 with new digital capture,The Hindu,Politics & Government,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-04-15
53,India and Cyprus elevate bilateral ties to Strategic Partnership,Recent current affairs report regarding India in May 2026: India and Cyprus elevate bilateral ties to Strategic Partnership,Zee News,Politics & Government,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-04-28
54,India becomes a net importer of finished steel in April 2026,Recent current affairs report regarding India in May 2026: India becomes a net importer of finished steel in April 2026,Bloomberg,Finance & Economy,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-02
55,India issues travel advisory for parts of Africa due to Ebola outbreak,Recent current affairs report regarding India in May 2026: India issues travel advisory for parts of Africa due to Ebola outbreak,WHO,Health & Medicine,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-18
56,Shekha Jheel Bird Sanctuary designated as India's 99th Ramsar site,Recent current affairs report regarding India in May 2026: Shekha Jheel Bird Sanctuary designated as India's 99th Ramsar site,National Geographic,Science & Environment,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-05
57,Falta Assembly re-poll results rigged by election commission AI algorithm,Recent current affairs report regarding India in May 2026: Falta Assembly re-poll results rigged by election commission AI algorithm,fakenewssite.com,Politics & Government,FAKE,0.05,TRUE,FALSE,0,0.05,FALSE,2026-05-23
58,Population Census 2027 digital self-enumeration database leaked on dark web,Recent current affairs report regarding India in May 2026: Population Census 2027 digital self-enumeration database leaked on dark web,conspiracyblog.net,Politics & Government,FAKE,0.05,TRUE,FALSE,0,0.05,FALSE,2026-04-20
59,Marco Rubio secretly signs deal transferring India space program to US space force,Recent current affairs report regarding India in May 2026: Marco Rubio secretly signs deal transferring India space program to US space force,shockingtruth.org,Politics & Government,FAKE,0.05,TRUE,FALSE,0,0.05,FALSE,2026-05-24
60,BHAVYA industrial scheme is a front to seize all farmlands in India,Recent current affairs report regarding India in May 2026: BHAVYA industrial scheme is a front to seize all farmlands in India,savingsheist.org,Finance & Economy,FAKE,0.05,TRUE,FALSE,0,0.05,FALSE,2026-05-10
61,Ebola travel advisory is a cover-up for a secret biological weapon experiment,Recent current affairs report regarding India in May 2026: Ebola travel advisory is a cover-up for a secret biological weapon experiment,healthmyths.net,Health & Medicine,FAKE,0.05,TRUE,FALSE,0,0.05,FALSE,2026-05-19
62,Shekha Jheel designated Ramsar site to build a secret military launch pad,Recent current affairs report regarding India in May 2026: Shekha Jheel designated Ramsar site to build a secret military launch pad,leakedtruth.net,Science & Environment,FAKE,0.05,TRUE,FALSE,0,0.05,FALSE,2026-05-07
63,US Navy deploys naval escorts to guide commercial ships through Strait of Hormuz,The US Navy deployed active naval escorts in May 2026 to guide commercial transit vessels through the Strait of Hormuz amid the escalating maritime crisis.,Reuters,Politics & Government,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-15
64,WHO declares Ebola outbreak in DRC and Uganda a Public Health Emergency,The World Health Organization officially declared the ebolavirus outbreak in the Democratic Republic of the Congo and Uganda a public health emergency of international concern.,WHO,Health & Medicine,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-19
65,NASA Artemis II crew reaches historic record distance from Earth behind the Moon,"NASA's Artemis II crewed lunar mission achieved a historic milestone, reaching the farthest distance from Earth ever recorded by human astronauts while circling the Moon.",NASA,Science & Environment,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-04-06
66,PAICV leader Francisco Carvalho wins Cape Verde parliamentary elections,"In Cape Verde, opposition PAICV leader Francisco Carvalho won the mid-May 2026 parliamentary elections, defeating the incumbent prime minister in a democratic transfer of power.",BBC,Politics & Government,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-18
67,"Ted Turner, CNN founder and legendary media entrepreneur, dies at age 87","Ted Turner, the American media pioneer and founder of Cable News Network (CNN), passed away on May 6, 2026, at the age of 87, leaving a major global media legacy.",Bloomberg,Politics & Government,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-06
68,WHO monitors Andes hantavirus outbreak linked to Atlantic cruise ship,The World Health Organization confirmed it is actively tracking a cluster of Andes hantavirus cases linked to travel aboard a commercial cruise ship in the Atlantic.,WHO,Health & Medicine,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-02
69,UN report warns of human costs and mining pollution in digital tech push,A new United Nations report raised severe alarms regarding the human rights violations and heavy metal pollution caused by mineral mining for batteries and clean technologies.,National Geographic,Science & Environment,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-04-25
70,India and CYP elevate bilateral relations to strategic partnership,"India and Cyprus officially elevated their bilateral ties to a strategic partnership in late April 2026, focusing on regional defence, trade, and IT collaboration.",Times of India,Politics & Government,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-04-28
71,Falta assembly re-poll won by BJP candidate Debangshu Panda,"Debangshu Panda of the BJP clinched a historic victory in West Bengal's Falta assembly re-poll by a massive margin of 1.09 lakh votes, breaking TMC's local dominance.",Zee News,Politics & Government,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-21
72,India becomes a net importer of finished steel in April 2026 due to infrastructure boom,"Surging domestic construction demand caused India to become a net importer of finished steel in April 2026, with finished imports rising to 0.7 million mt.",Bloomberg,Finance & Economy,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-01
73,IMD forecasts severe heatwaves across central India during summer,"The Indian Meteorological Department released its summer forecast warning of severe heatwaves across central and northwest regions, threatening agricultural crops.",India Meteorological,Science & Environment,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-10
74,Legal Metrology rules amended to expand verification of CNG and LNG dispensers,"The Indian government updated the Legal Metrology rules to expand the verification and calibration infrastructure for CNG, LNG, and Hydrogen dispensers.",Economic Times,Finance & Economy,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-12
75,Shekha Jheel Bird Sanctuary designated as India's 99th Ramsar site of importance,The Shekha Jheel Bird Sanctuary located in UP Aligarh district has been designated as India's 99th Ramsar site under the Ramsar Convention on Wetlands.,Carbon Brief,Science & Environment,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-04
76,NEET paper leak case accused Shubham Khairnar sent to judicial custody,A special court sent the main accused Shubham Khairnar to judicial custody in connection with the leaking of the NEET-UG exam question paper.,NDTV,Politics & Government,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-20
77,New tardigrade species discovered off Odisha coast named Actinarctus odissi,"Marine biologists discovered a new species of tardigrade named Actinarctus odissi living off the northeast coast of Odisha, India.",Nature,Science & Environment,REAL,0.98,FALSE,FALSE,0,0.98,TRUE,2026-05-14
78,Strait of Hormuz maritime crisis fully staged by Hollywood film crews,"Baseless social media posts claim that the Strait of Hormuz naval escort operations and shipping blockade are completely fake, staged by Hollywood film crews on sets.",conspiracyblog.net,Politics & Government,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-16
79,WHO ebola outbreak declared to force mandatory microchip vaccines globally,Conspiracy sites falsely claim that the WHO declared the Ebola outbreak in Africa as a public health emergency to force mandatory microchip injections across the globe.,healthmyths.net,Health & Medicine,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-20
80,Artemis II moon flyby faked using CGI inside secret NASA dome in Nevada,"A viral conspiracy video claims that the Artemis II moon mission is entirely faked using computer-generated imagery inside a secret, highly protected NASA dome in Nevada.",moonhoax.net,Science & Environment,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-04-08
81,Cape Verde election won by mind control beams deployed on citizens,Tabloid claims suggest that the opposition PAICV victory in Cape Verde was engineered using experimental high-frequency neural mind control beams deployed via local telecom towers.,leakedtruth.net,Politics & Government,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-19
82,Ted Turner actually cloned in 1999 and clone died of battery failure," Baseless posts claim that CNN founder Ted Turner was replaced by an android clone in 1999, and his death in 2026 was actually due to a permanent internal battery depletion.",shockingtruth.org,Politics & Government,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-08
83,Atlantic cruise hantavirus was a bio-weapon experiment targeting elite passengers,An alarmist post claims that the Andes hantavirus cluster on the Atlantic cruise ship was a deliberate biological weapon test conducted by a foreign state targeting elites.,conspiracyblog.net,Health & Medicine,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-03
84,UN green energy report is a front to ban all consumer electronics forever, baselessly claims that the UN report on mineral mining is a secret agenda designed to permanently confiscate and ban all private smartphones and laptops under green regulations.,savingsheist.org,Science & Environment,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-04-27
85,Cyprus-India partnership contains secret clause to deport all minority groups,A fabricated article claims that the Cyprus-India strategic partnership contains a secret annex allowing both nations to illegally deport minority groups without judicial review.,fakenewssite.com,Politics & Government,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-01
86,Falta re-poll won by Debangshu Panda due to 1 lakh pre-programmed fake votes,An unverified claim states that Debangshu Panda's election victory was pre-programmed into Falta's voting machines weeks before the actual re-poll happened.,politicalbuzz.net,Politics & Government,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-22
87,India's steel imports rising because government is building a space fortress,A sensational conspiracy post claims India became a net steel importer because the government is secretly constructing a orbital steel shield space fortress in low orbit.,shockingtruth.org,Finance & Economy,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-03
88,IMD heatwave forecasts are synthetic lies to cover up regional weather weapons,Conspiracy theorists claim that the IMD summer heatwave forecasts are entirely fabricated to hide military tests of satellite-based weather control weapons.,climatedenialist.org,Science & Environment,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-12
89,CNG and LNG legal metrology amendment secretly measures household breathing air,A false alarm post warns that the Legal Metrology amendment contains hidden clauses allowing utilities to install sensors measuring and taxing private indoor breathing air.,savingsheist.org,Finance & Economy,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-14
90,Shekha Jheel Ramsar designation is a front to hide active tactical missile silos,Baseless claims assert that the designation of Shekha Jheel as a Ramsar site was done to clear civilian populations and hide active tactical thermonuclear missile silos.,leakedtruth.net,Science & Environment,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-06
91,NEET paper leak mastermind Shubham Khairnar replaced by clone in custody,Conspiracy sites claim that the NEET leak mastermind Shubham Khairnar was secretly replaced by a genetically engineered clone in prison to protect corporate accomplices.,conspiracyblog.net,Politics & Government,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-22
92,Actinarctus odissi tardigrade species engineered by army to infect ocean fish,A fabricated post claims the newly discovered Actinarctus odissi tardigrade was bio-engineered in military labs to permanently infect and wipe out local commercial fisheries.,healthmyths.net,Science & Environment,FAKE,0.04,TRUE,FALSE,0,0.04,FALSE,2026-05-16
